C,NEMP.WORLD,PREDISPATCHIS,AEMO,PUBLIC,2020/03/19,12:01:14,0000000320548349,PREDISPATCHIS,0000000320548346
I,PREDISPATCH,CASE_SOLUTION,1,PREDISPATCHSEQNO,RUNNO,SOLUTIONSTATUS,SPDVERSION,NONPHYSICALLOSSES,TOTALOBJECTIVE,TOTALAREAGENVIOLATION,TOTALINTERCONNECTORVIOLATION,TOTALGENERICVIOLATION,TOTALRAMPRATEVIOLATION,TOTALUNITMWCAPACITYVIOLATION,TOTAL5MINVIOLATION,TOTALREGVIOLATION,TOTAL6SECVIOLATION,TOTAL60SECVIOLATION,TOTALASPROFILEVIOLATION,TOTALENERGYCONSTRVIOLATION,TOTALENERGYOFFERVIOLATION,LASTCHANGED,INTERVENTION
D,PREDISPATCH,CASE_SOLUTION,1,2020031917,1,18,,0,527833346.7460,0,0,0,0,179,,,,,0,0,0,"2020/03/19 12:00:48",0
I,PREDISPATCH,LOCAL_PRICE,1,PREDISPATCHSEQNO,DATETIME,DUID,PERIODID,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED,LASTCHANGED
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:30:00",HDWF1,03,-192.13,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:00:00",HDWF1,04,-192.09,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:30:00",HDWF1,05,-192.83,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:00:00",HDWF1,06,-192.14,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:30:00",HDWF1,07,-192.83,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 12:30:00",HDWF2,01,-448.52,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:00:00",HDWF2,02,-191.96,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:30:00",HDWF2,03,-192.13,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:00:00",HDWF2,04,-192.09,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:30:00",HDWF2,05,-192.83,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:00:00",HDWF2,06,-192.14,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:30:00",HDWF2,07,-192.83,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 12:30:00",HDWF3,01,-448.52,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:00:00",HDWF3,02,-191.96,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:30:00",HDWF3,03,-192.13,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:00:00",HDWF3,04,-192.09,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:30:00",HDWF3,05,-192.83,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:00:00",HDWF3,06,-192.14,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:30:00",HDWF3,07,-192.83,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 12:30:00",HPRG1,01,-448.52,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:00:00",HPRG1,02,-191.96,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 13:30:00",HPRG1,03,-192.13,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:00:00",HPRG1,04,-192.09,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 14:30:00",HPRG1,05,-192.83,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:00:00",HPRG1,06,-192.14,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 15:30:00",HPRG1,07,-192.83,2,"2020/03/19 12:00:48"
D,PREDISPATCH,LOCAL_PRICE,1,2020031917,"2020/03/19 12:30:00",HPRL1,01,448.52,2,"2020/03/19 12:00:48"
